Ego_Position(m),Ego_Velocity(m/s),Time(s)
0.0,0.0,28.751000642
0.0,0.0,28.878270149
0.0,0.0,28.989441394
0.0,0.0,29.136001825
0.0,0.0,29.245403289
0.0,0.0,29.357467413
0.0,0.0,29.481506824
0.0,0.0,29.591569423
0.0,0.0,29.720443248
0.0,0.0,29.831592083
0.0,0.0,29.964198827
0.0,0.0,30.074578523
0.0,0.0,30.224697351
0.0,0.0,30.336127519
0.0,0.0,30.464863538
0.0,0.0,30.592157602
0.0,0.0,30.702920675
0.0,0.0,30.831672191
0.0,0.0,30.949587345
0.0,0.0,31.06185913
0.0,0.0,31.208214283
0.0,0.0,31.318544149
0.0,0.0,31.446237325
0.0,0.0,31.558516264
0.0,0.0,31.688890934
0.0,0.0,31.800684452
0.0,0.0,31.913521528
0.0,0.0,32.043934345
0.0,0.0,32.157796144
0.0,0.0,32.305098295
0.0,0.0,32.416692495
0.0,0.0,32.547414064
0.0,0.0,32.658332586
0.0,0.0,32.788914203
0.0,0.0,32.899948835000004
0.0,0.0,33.011070013
0.0,0.0,33.156629562
0.0,0.0,33.268042564
0.0,0.0,33.396608114
0.0,0.0,33.508136987
0.0,0.0,33.61952281
0.0,0.0,33.744936227
0.0,0.0,33.859286546
0.0,0.0,33.99720788
0.0,0.0,34.109145641
0.0,0.0,34.237703085
0.0,0.0,34.349077224
0.0,0.0,34.46107912
0.0,0.0,34.624433756
0.0,0.0,34.774802923
0.0,0.0,34.930126667
0.0,0.0,35.082391739
0.0,0.0,35.233216047
0.0,0.0,35.361591816
0.0,0.0,35.524895429
0.0,0.0,35.640758037
0.0,0.0,35.76485753
0.0,0.0,35.923007011
0.0,0.0,36.060688495
0.0,0.0,36.277198553
0.0,0.0,36.432233572
0.0,0.0,36.610671758
0.0,0.0,36.775824308
0.0,0.0,36.917562961
0.0,0.0,37.080407381
0.0,0.0,37.217932462
0.0,0.0,37.394832611
0.0,0.0,37.54949212
0.0,0.0,37.685455322
0.0,0.0,37.842962265
0.0,0.0,37.983250141
0.0,0.0,38.132332086
0.0,0.0,38.288763284
0.0,0.0,38.441064596
0.0,0.0,38.595369815
0.0,0.0,38.778403043
0.0,0.0,38.922319173
0.0,0.0,39.052284002
0.0,0.0,39.208653211
0.0,0.0,39.358721017
0.0,0.0,39.509722471
0.0,0.0,39.637768507
0.0,0.0,39.77742052
0.0,0.0,39.927970409
0.0,0.0,40.057747125
0.0,0.0,40.21378684
0.0,0.0,40.374362468
0.0,0.0,40.524527788
0.0,0.0,40.67607069
0.0,0.0,40.813174724
0.0,0.0,40.964944124
0.0,0.0,41.097554206
0.0,0.0,41.247030019
0.0,0.0,41.376436472
0.0,0.0,41.555171013
0.0,0.0,41.715177774
0.0,0.0,41.887574911
0.0,0.0,42.045138836
0.0,0.0,42.172567129
0.0,0.0,42.319756984
0.0,0.0,42.451281309
0.0,0.0,42.624594926
0.0,0.0,42.780788421
0.0,0.0,42.926340103
0.0,0.0,43.07680273
0.0,0.0,43.206294298
0.0,0.0,43.359257459
0.0,0.0,43.507679462
0.0,0.0,43.667631626
0.0,0.0,43.80316019
0.0,0.0,43.944678783
0.0,0.0,44.101217508
0.0,0.0,44.232069969
0.0,0.0,44.412276983
0.0,0.0,44.541381597
0.0,0.0,44.695104837
0.0,0.0,44.826544761
0.0,0.0,44.990577459
0.0,0.0,45.163890838
0.0,0.0,45.347887516
0.0,0.0,45.515019893
0.0,0.0,45.660032034
0.0,0.0,45.824549675
0.0,0.0,45.96261549
0.0,0.0,46.120157718
0.0,0.0,46.276722192
0.0,0.0,46.410476923
0.0,0.0,46.565031051
0.0,0.0,46.698063612
0.0,0.0,46.86523509
0.0,0.0,46.999374389
0.0,0.0,47.132161855
0.0,0.0,47.286856174
0.0,0.0,47.463775396
0.0,0.0,47.630242586
0.0,0.0,47.791964769
0.0,0.0,47.96182847
0.0,0.0,48.137713194
0.0,0.0,48.324651956
0.0,0.0,48.479466915
0.0,0.0,48.631640434
0.0,0.0,48.778634786
0.0,0.0,48.899242401
0.0,0.0,49.03873229
0.0,0.0,49.161998272
0.0,0.0,49.28533101
0.0,0.0,49.417846918
0.0,0.0,49.53234291
0.0,0.0,49.689800262
0.0,0.0,49.804100036
0.0,0.0,49.956745147
0.0,0.0,50.07349205
0.0,0.0,50.193602085
0.0,0.0,50.32304573
0.0,0.0,50.435082674
0.0,0.0,50.561939954
0.0,0.0,50.692715168
0.0,0.0,50.817495584
