Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
20:09.1,15.9,15.9,0.83,0.05,557,4.6,0,0
20:09.3,15.9,15.9,0.83,0.04,557,4.6,0,0
20:09.4,15.9,15.9,0.83,0.05,557,4.7,0.017,0
20:09.7,15.9,15.9,0.83,0.04,558,4.6,0,0
20:09.8,15.9,15.9,0.83,0.05,558,4.6,0.008,0
20:09.9,15.9,15.9,0.83,0.04,559,4.7,0.066,0
20:10.0,15.9,15.9,0.83,0.04,560,4.7,0,0
20:10.1,15.9,15.9,0.83,0.04,559,4.6,0,0
20:10.2,15.9,15.9,0.83,0.04,558,4.7,0,0
20:10.5,15.9,15.9,0.83,0.04,561,4.6,0,0
20:10.8,15.9,15.9,0.83,0.05,562,4.8,0.035,0
20:10.8,15.9,15.9,0.83,0.05,563,4.7,0,0
20:10.9,15.9,15.9,0.83,0.05,564,4.6,0.004,0
20:11.1,15.9,15.9,0.83,0.05,563,4.7,0.022,0
20:11.2,15.9,15.9,0.83,0.05,565,4.8,0.061,0
20:11.3,15.9,15.9,0.83,0.05,566,4.7,0,0
20:11.4,15.9,15.9,0.83,0.05,564,4.6,0,0
20:11.5,15.9,15.9,0.83,0.05,565,4.7,0.092,0
20:11.7,15.9,15.9,0.83,0.04,567,4.7,0,0
20:11.9,15.9,15.9,0.83,0.05,567,4.7,0,0
20:12.2,15.9,15.9,0.83,0.05,570,4.7,0,0
20:12.2,15.9,15.9,0.83,0.04,570,4.7,0,0
20:12.3,15.9,15.9,0.83,0.05,568,4.6,0,0
20:12.4,15.9,15.9,0.83,0.04,569,4.7,0,0
20:12.6,15.9,15.9,0.83,0.05,571,4.8,0,0
20:13.0,15.9,15.9,0.83,0.04,570,4.8,0,0
20:13.0,15.9,15.9,0.83,0.05,571,4.7,0.022,0
20:13.1,15.9,15.9,0.83,0.05,570,4.7,0,0
20:13.2,15.9,15.9,0.83,0.04,568,4.7,0.035,0
20:13.3,15.9,15.9,0.83,0.04,568,4.8,0,0
20:13.4,15.9,15.9,0.83,0.04,569,4.8,0,0
20:13.6,15.9,15.9,0.83,0.04,568,4.5,0,0
20:13.7,15.9,15.9,0.83,0.05,567,4.8,0.017,0
20:13.9,15.9,15.9,0.83,0.05,568,4.7,0.022,0
20:14.0,15.9,15.9,0.83,0.04,565,4.5,0,0
20:14.2,15.9,15.9,0.83,0.05,565,4.8,0.048,0
20:14.3,15.9,15.9,0.83,0.05,565,4.6,0,0
20:14.4,15.9,15.9,0.83,0.05,565,4.6,0,0
20:14.5,15.9,15.9,0.83,0.05,563,4.6,0.044,0
20:14.9,15.9,15.9,0.83,0.04,561,4.6,0.053,0
20:15.3,15.9,15.9,0.83,0.04,562,4.5,0,0
20:15.4,15.9,15.9,0.83,0.05,559,4.6,0.008,0
20:15.5,15.9,15.9,0.83,0.04,559,4.7,0.057,0
20:15.6,15.9,15.9,0.83,0.05,560,4.5,0.03,0
20:15.7,15.9,15.9,0.83,0.05,559,4.5,0,0
20:16.0,15.9,15.9,0.83,0.05,558,4.6,0.004,0
20:16.1,15.9,15.9,0.83,0.05,557,4.5,0,0
20:16.3,15.9,15.9,0.83,0.05,555,4.6,0,0
20:16.4,15.9,15.9,0.83,0.05,555,4.7,0,0
20:16.5,15.9,15.9,0.83,0.05,555,4.5,0,0
20:16.6,15.9,15.9,0.83,0.05,554,4.4,0.013,0
20:16.7,15.9,15.9,0.83,0.05,552,4.5,0.044,0
20:16.8,15.9,15.9,0.83,0.05,552,4.6,0.026,0
20:16.9,15.9,15.9,0.83,0.04,553,4.5,0,0
20:17.1,15.9,15.9,0.83,0.04,550,4.4,0.026,0
20:17.4,15.9,15.9,0.83,0.04,550,4.5,0,0
20:17.5,15.9,15.9,0.83,0.05,549,4.4,0,0
20:17.6,15.9,15.9,0.83,0.04,548,4.4,0.004,0
20:17.7,15.9,15.9,0.83,0.05,548,4.5,0.061,0
20:17.8,15.9,15.9,0.83,0.05,549,4.5,0.044,0
20:18.1,15.9,15.9,0.83,0.04,547,4.5,0,0
20:18.2,15.9,15.9,0.83,0.04,548,4.5,0.044,0
20:18.7,15.9,15.9,0.83,0.05,547,4.6,0,0
20:19.1,15.9,15.9,0.83,0.04,547,4.6,0,0
20:19.2,15.9,15.9,0.83,0.05,547,4.6,0,0
20:19.2,15.9,15.9,0.83,0.05,546,4.4,0,0
20:19.3,15.9,15.9,0.83,0.04,545,4.4,0.022,0
20:19.4,15.9,15.9,0.83,0.05,545,4.5,0.066,0
20:19.9,15.9,15.9,0.83,0.04,545,4.6,0.048,0
20:20.0,15.9,15.9,0.83,0.05,548,4.6,0,0
20:20.6,15.9,15.9,0.83,0.05,551,4.6,0,0
20:20.7,15.9,15.9,0.83,0.04,550,4.6,0.061,0
20:20.8,15.9,15.9,0.83,0.04,551,4.6,0,0
20:20.9,15.9,15.9,0.83,0.05,553,4.6,0,0
20:21.0,15.9,15.9,0.83,0.04,554,4.5,0,0
20:21.1,15.9,15.9,0.83,0.04,554,4.5,0.008,0
20:21.4,15.9,15.9,0.83,0.05,558,4.6,0,0
20:21.5,15.9,15.9,0.83,0.05,558,4.6,0,0
20:21.9,15.9,15.9,0.83,0.05,560,4.5,0,0
20:22.2,15.9,15.9,0.83,0.04,562,4.7,0,0
20:22.4,15.9,15.9,0.83,0.04,560,4.5,0,0
20:23.1,15.9,15.9,0.83,0.05,559,4.7,0,0
20:23.1,15.9,15.9,0.83,0.05,559,4.5,0,0
20:23.4,15.9,15.9,0.83,0.04,557,4.6,0.061,0
20:23.5,15.9,15.9,0.83,0.04,558,4.7,0,0
20:23.7,15.9,15.9,0.83,0.05,555,4.4,0,0
20:23.9,15.9,15.9,0.83,0.04,554,4.6,0,0
