Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
29:09.6,0,0,0.29,0.05,1554,11.4,0,50.7
29:09.9,0,0,0.29,0.05,1471,10.5,0,51.04
29:10.0,0,0,0.29,0.05,1437,10.7,0.221,51.18
29:10.1,0,0,0.28,0.04,1420,10.5,0,51.25
29:10.2,0,0,0.29,0.04,1400,10.2,0,51.35
29:10.6,0,0,0.28,0.04,1311,9.7,0.194,51.76
29:10.9,0,0,0.29,0.05,1263,9.3,0,52
29:11.0,0,0,0.29,0.04,1229,9.2,0.084,52.14
29:11.1,0,0,0.28,0.04,1207,8.7,0,52.23
29:11.2,0,0,0.29,0.05,1186,8.6,0,52.36
29:11.3,0,0,0.29,0.05,1161,8.4,0.048,52.46
29:11.5,0,0,0.29,0.04,1133,8.3,0.101,52.6
29:11.7,0,0,0.28,0.05,1076,7.8,0,52.84
29:12.0,0,0,0.29,0.05,1027,7.3,0.053,53.09
29:12.1,0,0,0.28,0.05,999,7,0,53.2
29:12.2,0,0,0.29,0.04,970,6.7,0,53.32
29:12.3,0,0,0.29,0.05,955,6.7,0,53.4
29:12.3,0,0,0.29,0.05,942,6.7,0.008,53.46
29:12.4,0,0,0.29,0.05,920,6.2,0,53.56
29:12.5,0,0,0.29,0.04,899,6.2,0,53.65
29:12.9,0,0,0.29,0.05,820,5.5,0,54
29:13.0,0,0,0.29,0.05,800,5.5,0,54.1
29:13.1,0,0,0.29,0.05,772,5.1,0,54.23
29:13.2,0,0,0.29,0.05,750,4.9,0,54.33
29:13.3,0,0,0.29,0.05,729,4.8,0,54.43
29:13.4,0,0,0.29,0.05,701,4.5,0,54.55
29:13.5,0,0,0.29,0.04,679,4.3,0,54.65
29:13.9,0,0,0.28,0.05,595,3.7,0,55.02
29:14.1,0,0,0.29,0.05,544,3.3,0,55.26
29:15.0,0,0,0.29,0.05,347,1.6,0,55.44
29:15.5,0,0,0.29,0.05,259,1.1,0,55.44
29:15.9,0,0,0.28,0.05,182,0.6,0,55.44
29:16.0,0,0,0.28,0.05,167,0.5,0,55.44
29:16.2,0,0,0.28,0.05,135,0.3,0,55.44
29:16.3,0,0,0.29,0.05,127,0.3,0,55.44
29:16.4,0,0,0.29,0.05,118,0.2,0,55.44
29:16.5,0,0,0.29,0.05,103,0.1,0,55.44
29:16.8,0,0,0.29,0.05,78,0,0,55.44
29:16.9,0,0,0.28,0.04,66,0,0,55.44
29:17.0,0,0,0.29,0.05,57,0,0,55.44
29:18.8,0,0,0.28,0.04,-26,-0.3,0,55.44
29:18.9,0,0,0.28,0.04,-28,-0.3,0.004,55.44
29:19.0,0,0,0.28,0.04,-30,-0.3,0,55.44
29:19.1,0,0,0.28,0.05,-31,-0.3,0,55.44
29:19.5,0,0,0.29,0.05,-34,-0.3,0,55.44
29:19.7,0,0,0.29,0.05,-34,-0.2,0,55.44
29:19.8,0,0,0.28,0.05,-35,-0.3,0,55.44
29:20.0,0,0,0.29,0.04,-35,-0.2,0,55.44
29:20.2,0,0,0.29,0.05,-34,-0.2,0,55.44
29:20.3,0,0,0.29,0.05,-34,-0.2,0.004,55.44
