Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
48:15.6,47.6,47.6,2.56,0.05,1679,14.1,0.146,23.9
48:16.7,47.7,47.6,2.56,0.05,1675,13.9,0.088,24.96
48:17.0,47.7,47.7,2.56,0.05,1670,13.6,0.017,25.28
48:17.1,47.7,47.6,2.56,0.04,1669,14,0.146,25.37
48:17.2,47.6,47.6,2.56,0.05,1668,13.9,0,25.48
48:17.3,47.7,47.6,2.56,0.05,1668,13.6,0,25.57
48:17.4,47.6,47.6,2.56,0.05,1667,14,0.084,25.67
48:17.5,47.6,47.7,2.56,0.05,1666,13.8,0,25.76
48:17.6,47.7,47.7,2.56,0.05,1666,13.6,0,25.88
48:17.9,47.6,47.6,2.56,0.05,1663,13.5,0,26.16
48:18.9,47.6,47.7,2.56,0.05,1657,13.9,0.128,27.13
48:19.0,47.6,47.6,2.56,0.05,1658,13.8,0,27.22
48:19.0,47.6,47.6,2.56,0.05,1659,13.8,0,27.29
48:19.1,47.6,47.6,2.56,0.04,1658,14,0,27.4
48:19.2,47.6,47.6,2.56,0.05,1659,13.8,0,27.51
48:19.6,47.6,47.7,2.56,0.05,1663,13.9,0.048,27.88
48:19.8,47.7,47.6,2.56,0.04,1663,13.8,0,28.08
48:20.0,47.6,47.6,2.56,0.04,1663,13.9,0.053,28.24
48:20.1,47.6,47.6,2.56,0.05,1665,13.9,0.035,28.32
48:20.3,47.6,47.6,2.56,0.05,1665,14,0,28.56
48:20.4,47.6,47.6,2.56,0.05,1666,13.9,0.07,28.69
48:20.7,47.7,47.7,2.56,0.05,1665,13.9,0,28.98
48:21.0,47.7,47.6,2.56,0.05,1665,13.9,0.057,29.27
48:21.1,47.6,47.7,2.56,0.04,1665,13.7,0,29.35
48:21.2,47.6,47.6,2.56,0.05,1664,14,0,29.44
48:21.3,47.7,47.6,2.56,0.04,1664,13.8,0,29.54
48:21.4,47.7,47.6,2.56,0.05,1665,13.8,0.11,29.63
48:21.5,47.7,47.6,2.56,0.04,1663,14,0.159,29.73
48:22.0,47.7,47.6,2.56,0.05,1665,13.8,0.123,30.22
48:22.1,47.7,47.6,2.56,0.05,1663,14,0.115,30.31
48:22.2,47.7,47.6,2.56,0.05,1664,13.8,0,30.41
48:22.2,47.7,47.6,2.56,0.05,1666,14,0.048,30.5
48:22.6,47.7,47.6,2.56,0.04,1669,13.7,0,30.83
48:22.8,47.7,47.7,2.56,0.05,1669,14,0,31.02
48:23.0,47.7,47.6,2.56,0.05,1671,13.8,0,31.26
48:23.2,47.6,47.6,2.56,0.04,1672,13.7,0,31.42
48:23.3,47.6,47.6,2.56,0.05,1673,14,0.03,31.52
48:23.4,47.7,47.7,2.56,0.04,1675,13.9,0.075,31.67
48:23.5,47.7,47.7,2.56,0.05,1673,14,0,31.75
48:23.6,47.7,47.6,2.56,0.05,1674,13.9,0,31.86
48:23.7,47.7,47.7,2.56,0.04,1675,13.9,0,31.96
48:23.8,47.7,47.7,2.56,0.05,1673,14.1,0.017,32.06
48:24.2,47.6,47.6,2.56,0.05,1671,13.8,0,32.45
48:24.3,47.6,47.6,2.55,0.05,1672,13.9,0,32.53
48:24.4,47.5,47.6,2.56,0.05,1670,13.8,0,32.6
48:24.5,47.6,47.5,2.56,0.05,1670,13.9,0,32.74
48:24.6,47.7,47.7,2.56,0.05,1671,13.8,0.119,32.84
48:24.7,47.7,47.7,2.56,0.05,1670,14.1,0.154,32.94
48:24.8,47.7,47.7,2.56,0.05,1670,13.8,0,33.02
48:25.2,47.7,47.6,2.56,0.05,1669,13.9,0.115,33.4
48:25.8,47.7,47.7,2.56,0.05,1663,13.7,0,34.01
48:26.4,47.7,47.6,2.56,0.05,1663,13.7,0,34.6
48:26.6,47.6,47.7,2.56,0.04,1663,14,0,34.82
48:26.7,47.7,47.7,2.56,0.05,1664,13.6,0,34.91
48:26.8,47.7,47.6,2.56,0.04,1665,13.9,0.172,35.03
48:26.9,47.7,47.7,2.56,0.04,1665,14.1,0.057,35.13
48:27.0,47.7,47.6,2.56,0.05,1665,13.7,0,35.22
48:27.1,47.7,47.7,2.56,0.05,1666,13.9,0.137,35.31
48:27.5,47.7,47.7,2.56,0.05,1669,13.9,0,35.76
48:27.6,47.7,47.7,2.56,0.05,1669,14.1,0.168,35.87
48:27.7,47.7,47.6,2.56,0.04,1670,13.9,0,35.96
48:27.9,47.7,47.6,2.56,0.05,1670,14,0.123,36.17
48:28.0,47.7,47.7,2.56,0.05,1669,14,0,36.27
48:28.1,47.7,47.6,2.56,0.05,1669,13.7,0.03,36.36
48:28.2,47.7,47.6,2.56,0.04,1670,14,0.208,36.48
48:28.4,47.7,47.7,2.56,0.05,1672,14.1,0.119,36.59
48:28.5,47.7,47.6,2.56,0.05,1674,14,0.017,36.78
48:28.9,47.6,47.6,2.56,0.04,1677,14,0,37.11
48:29.2,47.7,47.6,2.56,0.05,1680,14,0.035,37.47
48:29.4,47.7,47.7,2.56,0.04,1680,13.9,0.15,37.64
48:29.5,47.6,47.6,2.56,0.05,1680,14.1,0.119,37.74
48:29.6,47.6,47.6,2.56,0.04,1679,14,0.057,37.86
48:29.8,47.6,47.6,2.56,0.05,1678,13.9,0.008,37.96
48:29.8,47.6,47.6,2.56,0.05,1679,14,0.057,38.05
48:30.3,47.7,47.7,2.56,0.04,1671,13.8,0,38.56
48:30.4,47.7,47.6,2.56,0.04,1670,13.7,0.106,38.66
48:30.5,47.7,47.7,2.56,0.05,1668,14,0.159,38.75
48:30.6,47.7,47.6,2.56,0.04,1667,13.7,0,38.84
48:30.7,47.7,47.6,2.56,0.04,1667,13.8,0,38.94
48:30.8,47.7,47.7,2.56,0.05,1665,14,0,39.05
48:30.9,47.7,47.7,2.56,0.05,1663,13.7,0,39.15
48:31.6,47.7,47.6,2.56,0.05,1657,13.6,0,39.87
48:31.8,47.7,47.7,2.56,0.05,1657,13.7,0.022,40
48:32.3,47.6,47.6,2.56,0.05,1652,13.9,0.022,40.51
48:32.4,47.5,47.6,2.56,0.04,1651,13.9,0,40.64
48:32.5,47.6,47.6,2.56,0.05,1652,13.5,0,40.73
48:32.6,47.7,47.6,2.56,0.04,1651,13.9,0.163,40.82
48:32.7,47.7,47.7,2.56,0.05,1650,13.8,0.053,40.92
48:32.8,47.7,47.6,2.56,0.05,1651,13.5,0,41.01
48:33.4,47.6,47.6,2.56,0.05,1649,13.5,0,41.63
48:33.5,47.6,47.6,2.56,0.05,1650,13.9,0.185,41.72
48:33.6,47.7,47.6,2.56,0.05,1650,14,0.154,41.82
48:33.7,47.6,47.6,2.56,0.04,1652,13.6,0,41.92
48:33.8,47.7,47.7,2.56,0.05,1653,13.9,0.088,42.01
48:33.9,47.7,47.7,2.56,0.05,1655,14,0,42.12
48:34.0,47.7,47.7,2.56,0.05,1655,13.6,0,42.21
48:34.4,47.7,47.6,2.56,0.05,1661,14,0.115,42.6
48:34.5,47.6,47.6,2.56,0.05,1662,14,0,42.69
48:34.6,47.6,47.6,2.56,0.05,1662,13.7,0,42.79
48:34.8,47.7,47.6,2.56,0.04,1664,14.1,0.044,42.99
48:34.9,47.6,47.6,2.56,0.05,1664,13.6,0,43.08
48:35.0,47.6,47.6,2.56,0.05,1666,14,0.159,43.18
48:35.2,47.6,47.6,2.56,0.05,1666,14.1,0.123,43.42
48:35.6,47.7,47.7,2.56,0.05,1673,14,0.185,43.78
48:35.8,47.6,47.6,2.56,0.04,1674,14,0,43.98
48:35.9,47.6,47.6,2.56,0.04,1677,13.9,0.03,44.09
48:36.0,47.7,47.6,2.56,0.05,1680,14.2,0.088,44.19
48:36.1,47.6,47.7,2.56,0.05,1680,14.3,0.181,44.32
48:36.2,47.7,47.6,2.56,0.05,1682,14.1,0,44.42
48:36.3,47.7,47.7,2.56,0.04,1684,13.9,0,44.52
48:37.0,47.7,47.6,2.56,0.05,1691,14,0,45.24
48:37.3,47.7,47.6,2.56,0.04,1691,14,0.168,45.5
48:37.4,47.7,47.7,2.56,0.05,1692,14.2,0.137,45.62
48:37.5,47.7,47.6,2.56,0.05,1689,14,0,45.71
48:37.6,47.7,47.7,2.56,0.05,1689,13.9,0,45.83
48:38.1,47.7,47.7,2.56,0.05,1682,14,0.101,46.31
48:38.2,47.7,47.7,2.56,0.05,1681,13.7,0,46.4
48:38.3,47.7,47.7,2.56,0.04,1681,13.8,0.053,46.51
48:38.4,47.7,47.6,2.56,0.04,1677,14,0,46.61
48:38.6,47.7,47.6,2.56,0.05,1676,13.7,0.123,46.8
48:39.5,0,0,0.29,0.05,1605,13.3,0,47.7
48:39.6,0,0,0.29,0.05,1594,12.4,0,47.79
48:39.7,0,0,0.29,0.04,1590,12.5,0,47.9
48:40.3,0,0,0.29,0.05,1504,11.9,0.323,48.48
48:40.4,0,0,0.29,0.05,1485,10.9,0,48.6
48:40.5,0,0,0.29,0.04,1470,11.4,0.407,48.7
48:40.6,0,0,0.29,0.04,1448,10.7,0.075,48.79
48:40.7,0,0,0.29,0.05,1434,10.9,0.225,48.89
48:40.8,0,0,0.29,0.05,1413,10.5,0.088,48.98
48:41.5,0,0,0.29,0.05,1274,9.4,0,49.71
48:41.6,0,0,0.29,0.05,1261,9.3,0,49.79
48:41.7,0,0,0.29,0.05,1245,9.5,0.123,49.86
48:41.8,0,0,0.29,0.05,1216,9.1,0,49.99
48:42.3,0,0,0.29,0.05,1124,8.4,0.132,50.48
48:42.6,0,0,0.29,0.05,1069,8.1,0.026,50.76
48:42.8,0,0,0.29,0.05,1037,7.4,0,50.94
48:42.9,0,0,0.29,0.05,1018,7.5,0,51.02
48:42.9,0,0,0.29,0.05,1002,7.3,0,51.12
48:43.0,0,0,0.29,0.05,981,6.9,0,51.21
48:43.1,0,0,0.29,0.05,968,7,0.035,51.29
48:43.2,0,0,0.29,0.05,945,6.7,0,51.4
48:43.3,0,0,0.29,0.05,924,6.5,0,51.49
48:43.8,0,0,0.29,0.05,843,5.9,0.035,51.92
48:43.9,0,0,0.29,0.05,819,5.6,0,52.06
48:44.4,0,0,0.29,0.05,716,4.7,0,52.54
48:44.5,0,0,0.29,0.05,704,4.6,0,52.64
48:44.6,0,0,0.29,0.05,680,4.6,0,52.75
48:44.7,0,0,0.29,0.04,655,4.3,0,52.86
48:44.8,0,0,0.29,0.05,642,4.1,0,52.96
48:44.9,0,0,0.29,0.04,622,4,0,53.04
48:45.3,0,0,0.29,0.05,531,3.2,0.017,53.5
48:45.4,0,0,0.29,0.05,518,3.2,0.03,53.6
48:45.5,0,0,0.29,0.05,493,2.9,0,53.7
48:45.6,0,0,0.29,0.05,481,2.9,0,53.78
48:46.0,0,0,0.29,0.05,414,2.2,0,53.79
48:46.2,0,0,0.29,0.05,370,1.9,0,53.79
48:46.3,0,0,0.29,0.05,352,1.8,0,53.79
48:46.5,0,0,0.29,0.05,318,1.7,0,53.79
48:46.6,0,0,0.29,0.05,302,1.5,0,53.79
48:46.7,0,0,0.29,0.05,286,1.4,0,53.79
48:46.8,0,0,0.29,0.05,270,1.3,0,53.79
48:46.9,0,0,0.29,0.05,256,1.2,0,53.79
48:47.0,0,0,0.29,0.05,240,1.1,0,53.79
48:47.1,0,0,0.29,0.05,226,1,0,53.79
48:47.5,0,0,0.29,0.04,165,0.6,0,53.79
48:47.6,0,0,0.29,0.05,153,0.5,0,53.79
48:47.7,0,0,0.29,0.05,142,0.5,0,53.79
48:48.3,0,0,0.29,0.04,84,0.1,0,53.79
48:48.4,0,0,0.29,0.05,75,0.1,0,53.79
48:48.6,0,0,0.29,0.05,57,0,0,53.79
48:48.7,0,0,0.29,0.05,49,0,0,53.79
48:48.8,0,0,0.29,0.04,43,0,0,53.79
48:48.9,0,0,0.29,0.05,36,0,0,53.79
48:49.4,0,0,0.29,0.05,15,-0.1,0,53.79
48:50.0,0,0,0.29,0.05,-5,-0.1,0,53.79
48:50.1,0,0,0.29,0.05,-6,-0.1,0.004,53.79
48:51.8,0,0,0.29,0.05,-4,0,0,53.79
48:51.9,0,0,0.29,0.05,-3,0,0,53.79
48:52.0,0,0,0.29,0.04,-3,0,0,53.79
