Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
01:58.0,0,0,0.29,2138,17.4,0,48.29
01:58.1,0,0,0.29,2128,17.1,0,48.37
01:58.5,0,0,0.29,2077,16.6,0.097,48.78
01:58.7,0,0,0.29,2059,16.5,0.097,48.9
01:58.8,0,0,0.29,2028,15.8,0,49.07
01:58.9,0,0,0.29,2019,15.9,0.132,49.16
01:59.0,0,0,0.29,2002,15.8,0,49.24
01:59.4,0,0,0.29,1934,15.3,0.115,49.65
01:59.8,0,0,0.29,1858,14.5,0,50.07
02:00.0,0,0,0.29,1831,14.2,0,50.24
02:00.5,0,0,0.29,1731,13.6,0.154,50.74
02:00.6,0,0,0.29,1712,12.9,0,50.84
02:01.0,0,0,0.29,1632,12.4,0,51.22
02:01.2,0,0,0.29,1598,12.1,0.123,51.39
02:01.2,0,0,0.29,1577,11.9,0,51.47
02:01.3,0,0,0.29,1564,11.9,0.053,51.54
02:01.6,0,0,0.29,1499,11.3,0.128,51.86
02:01.9,0,0,0.29,1452,10.8,0,52.1
02:02.0,0,0,0.29,1425,10.7,0,52.22
02:02.2,0,0,0.29,1372,10.2,0,52.46
02:02.6,0,0,0.29,1288,9.6,0.035,52.85
02:02.8,0,0,0.29,1245,9,0,53.05
02:03.0,0,0,0.29,1207,8.8,0.106,53.22
02:03.1,0,0,0.29,1188,8.6,0,53.3
02:03.3,0,0,0.29,1151,8.2,0.057,53.46
02:03.3,0,0,0.29,1136,8.2,0.053,53.54
02:03.5,0,0,0.29,1092,8,0.022,53.72
02:03.7,0,0,0.29,1057,7.6,0,53.89
02:03.8,0,0,0.29,1035,7.2,0,54
02:03.9,0,0,0.29,1014,7.2,0.004,54.06
02:03.9,0,0,0.29,999,6.8,0,54.14
02:04.1,0,0,0.29,970,6.9,0.017,54.26
02:04.3,0,0,0.29,917,6.4,0,54.54
02:04.5,0,0,0.29,883,6.1,0,54.69
02:04.6,0,0,0.29,854,5.8,0,54.81
02:04.8,0,0,0.29,823,5.7,0,54.96
02:04.8,0,0,0.29,810,5.5,0,55.03
02:04.9,0,0,0.29,790,5.4,0,55.14
02:05.0,0,0,0.29,763,5.2,0,55.25
02:05.4,0,0,0.29,691,4.5,0,55.63
02:05.5,0,0,0.29,667,4.5,0,55.73
02:05.7,0,0,0.29,643,4.2,0,55.86
02:05.7,0,0,0.29,630,4.1,0,55.94
02:05.8,0,0,0.29,618,4,0,56.01
02:05.9,0,0,0.29,588,3.8,0,56.15
02:06.0,0,0,0.29,575,3.6,0,56.21
02:06.2,0,0,0.29,532,3.3,0.026,56.45
02:06.5,0,0,0.29,475,2.9,0.008,56.75
02:06.6,0,0,0.29,458,2.8,0,56.75
02:06.7,0,0,0.29,447,2.7,0.013,56.75
02:06.8,0,0,0.29,430,2.5,0,56.75
02:06.9,0,0,0.29,413,2.3,0,56.75
02:07.0,0,0,0.29,390,2.1,0,56.75
02:07.2,0,0,0.29,357,2,0,56.75
02:07.4,0,0,0.29,324,1.6,0,56.75
02:07.5,0,0,0.29,302,1.5,0,56.75
02:07.6,0,0,0.29,291,1.5,0,56.75
02:07.7,0,0,0.29,276,1.4,0,56.75
02:07.8,0,0,0.29,261,1.2,0,56.75
02:08.0,0,0,0.29,232,1,0,56.75
02:08.1,0,0,0.29,217,1,0,56.75
02:08.1,0,0,0.29,209,0.9,0,56.75
02:08.2,0,0,0.29,200,0.8,0,56.75
02:08.3,0,0,0.29,182,0.7,0,56.75
02:08.4,0,0,0.29,165,0.6,0,56.75
02:08.5,0,0,0.29,157,0.6,0,56.75
02:08.7,0,0,0.29,135,0.4,0,56.75
02:08.9,0,0,0.29,121,0.4,0,56.75
02:09.2,0,0,0.29,85,0.2,0,56.75
02:09.6,0,0,0.29,55,0,0,56.75
02:09.7,0,0,0.29,48,0,0,56.75
02:09.9,0,0,0.29,39,0,0,56.75
02:10.2,0,0,0.29,27,0,0,56.75
02:10.2,0,0,0.29,24,0,0,56.75
02:10.3,0,0,0.29,21,0,0,56.75
02:10.6,0,0,0.29,13,0,0,56.75
02:10.7,0,0,0.29,12,0,0,56.75
02:10.8,0,0,0.29,10,0,0,56.75
02:11.2,0,0,0.29,6,0,0,56.75
02:11.3,0,0,0.29,5,0,0,56.75
02:11.4,0,0,0.29,4,0,0,56.75
02:11.5,0,0,0.29,4,0,0,56.75
02:11.6,0,0,0.29,3,0,0,56.75
02:11.7,0,0,0.29,3,0,0,56.75
02:11.8,0,0,0.29,2,0,0,56.75
02:11.9,0,0,0.29,2,0,0,56.75
02:12.0,0,0,0.29,2,0,0,56.75
02:12.1,0,0,0.29,1,0,0,56.75
02:12.3,0,0,0.29,1,0,0,56.75
02:12.4,0,0,0.29,1,0,0,56.75
02:12.7,0,0,0.29,1,0,0,56.75
02:12.8,0,0,0.29,0,0,0,56.75
02:13.0,0,0,0.29,0,0,0,56.75
02:13.0,0,0,0.29,0,0,0,56.75
02:13.1,0,0,0.29,0,0,0,56.75
02:13.3,0,0,0.29,0,0,0,56.75
02:13.5,0,0,0.29,0,0,0,56.75
02:13.6,0,0,0.29,0,0,0,56.75
02:13.7,0,0,0.29,0,0,0,56.75
02:13.8,0,0,0.29,0,0,0,56.75
02:14.9,0,0,0.28,0,0,0,56.75
02:15.3,0,0,0.28,0,0,0,56.75
02:15.7,0,0,0.28,0,0,0,56.75
02:16.0,0,0,0.28,0,0,0,56.75
02:16.1,0,0,0.28,0,0,0,56.75
02:16.3,0,0,0.28,0,0,0,56.75
02:16.3,0,0,0.28,0,0,0,56.75
02:16.5,0,0,0.28,0,0,0,56.75
02:16.6,0,0,0.28,0,0,0,56.75
02:17.0,0,0,0.28,0,0,0,56.75
02:17.3,0,0,0.28,0,0,0,56.75
02:17.3,0,0,0.34,0,0,0,56.75
