Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1770803067.193718,34.0888,3.2341,-0.9885,0.00425,-0.002412,0.076393,-0.997066,0.0008,-0.0003,0.0001,-0.00115,0.00299,-0.0002,-0.0222,-0.0867,9.8074,4,1,1,1,-1
1770803067.2407322,34.0888,3.2341,-0.9885,0.00425,-0.002412,0.076393,-0.997066,0.0008,-0.0003,0.0001,-0.00091,0.00223,-3e-05,-0.0112,-0.087,9.7949,4,1,1,1,-1
1770803067.2905803,34.0888,3.2341,-0.9885,0.00425,-0.002412,0.076393,-0.997066,0.0008,-0.0003,0.0001,0.00038,0.00011,-0.00013,-0.0156,-0.0828,9.8138,4,1,1,1,-1
1770803067.3400605,34.0888,3.2341,-0.9885,0.00425,-0.002412,0.076393,-0.997066,0.0008,-0.0003,0.0001,-0.0008,0.0024,0.00015,-0.0329,-0.0934,9.8024,4,1,1,1,-1
1770803067.3904085,34.0885,3.2342,-0.9885,0.004273,-0.002444,0.076388,-0.997066,-0.0011,-0.0006,0.0004,0.00206,-0.00281,5e-05,-0.034,-0.0812,9.82,4,1,1,1,-1
1770803067.4403791,34.0885,3.2342,-0.9885,0.004273,-0.002444,0.076388,-0.997066,-0.0011,-0.0006,0.0004,0.00063,-0.00072,0.00034,-0.0503,-0.0996,9.8065,4,1,1,1,-1
1770803067.490261,34.0885,3.2342,-0.9885,0.004273,-0.002444,0.076388,-0.997066,-0.0011,-0.0006,0.0004,0.00176,-0.00249,-0.0005,-0.0386,-0.0854,9.8179,4,1,1,1,-1
1770803067.5403945,34.0885,3.2342,-0.9885,0.004273,-0.002444,0.076388,-0.997066,-0.0011,-0.0006,0.0004,-0.00127,0.00216,0.00066,-0.0516,-0.0953,9.8168,4,1,1,1,-1
1770803067.5907161,34.0885,3.2342,-0.9885,0.004273,-0.002444,0.076388,-0.997066,-0.0011,-0.0006,0.0004,-0.00085,0.00087,-0.00032,-0.0438,-0.0934,9.8074,4,1,1,1,-1
1770803067.642629,34.0884,3.2342,-0.9884,0.004302,-0.00246,0.076391,-0.997066,0.0006,-0.0001,0.0001,0.00084,0.00052,-1e-05,-0.0439,-0.0996,9.8133,4,1,1,1,-1
1770803067.6904569,34.0884,3.2342,-0.9884,0.004302,-0.00246,0.076391,-0.997066,0.0006,-0.0001,0.0001,-0.00119,-0.00058,0.00019,-0.0368,-0.0939,9.8067,4,1,1,1,-1
1770803067.7404146,34.0884,3.2342,-0.9884,0.004302,-0.00246,0.076391,-0.997066,0.0006,-0.0001,0.0001,0.00074,0.00234,0.00073,-0.0339,-0.0897,9.8122,4,1,1,1,-1
1770803067.7902915,34.0884,3.2342,-0.9884,0.004302,-0.00246,0.076391,-0.997066,0.0006,-0.0001,0.0001,0.00101,-0.00154,0.00013,-0.0342,-0.0835,9.8081,4,1,1,1,-1
1770803067.84053,34.0884,3.2342,-0.9884,0.004302,-0.00246,0.076391,-0.997066,0.0006,-0.0001,0.0001,-1e-05,-0.00034,4e-05,-0.04,-0.0891,9.8091,4,1,1,1,-1
1770803067.8915644,34.0884,3.2342,-0.9884,0.004329,-0.002442,0.076385,-0.997066,0.0008,-0.0006,-0.0001,0.0018,-0.00317,-0.00051,-0.0513,-0.0803,9.7999,4,1,1,1,-1
