Topic:,/fixposition/fpa/corrimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1770803081.4986048,0.000227,-0.002345,-7e-05,-0.042389,-0.119154,9.812819
1770803081.4988084,-0.000572,0.001383,0.001261,-0.066331,-0.109578,9.806834
1770803081.5039518,-0.002969,0.003247,0.001261,-0.059149,-0.126337,9.805636
1770803081.509045,-0.002969,0.004046,0.000995,-0.029222,-0.09641,9.805636
1770803081.5166798,-0.001371,0.004046,-7e-05,-0.014856,-0.080847,9.81641
1770803081.5213,0.001026,-0.002878,-0.000603,-0.028024,-0.083241,9.81641
1770803081.5245142,-0.001904,0.001383,-0.000337,-0.071119,-0.082044,9.815213
1770803081.5326023,-0.001371,-0.002345,0.000196,-0.061543,-0.078453,9.814016
1770803081.534268,-0.000572,0.001916,-7e-05,-0.034009,-0.066482,9.791271
1770803081.5426023,0.001292,0.000318,-0.000869,0.006692,-0.08803,9.788877
1770803081.551438,0.00076,0.004313,-0.000337,-0.010068,-0.07965,9.806833
1770803081.55157,0.000227,0.003247,0.000196,-0.05436,-0.100001,9.82479
1770803081.5544896,-0.000838,-0.002878,0.000462,-0.074711,-0.107183,9.815213
1770803081.5593612,0.002624,-0.003677,-0.001402,-0.056755,-0.102395,9.823593
1770803081.5647416,-0.000306,-0.000747,-0.000337,-0.042389,-0.113169,9.811622
1770803081.5746303,0.002091,-0.004742,-0.000337,-0.016054,-0.110775,9.797256
1770803081.5761235,0.001825,0.001117,0.000729,-0.01725,-0.098804,9.799651
1770803081.5795608,0.00076,0.000851,-0.000337,-0.020841,-0.094015,9.808031
1770803081.5863829,-0.001371,0.002449,-0.000603,-0.035207,-0.083242,9.822396
1770803081.5904477,-0.001105,0.00165,-0.000603,-0.037601,-0.080847,9.81641
1770803081.5970604,-0.00217,0.00378,-7e-05,-0.048375,-0.083242,9.81641
1770803081.6001,0.001825,-0.000215,-7e-05,-0.055557,-0.072467,9.804439
1770803081.6052437,-0.000572,-0.000215,-0.000603,-0.049572,-0.076059,9.798454
1770803081.6135876,-0.001904,0.002715,0.000462,-0.060346,-0.089227,9.794862
1770803081.6151934,0.000227,-0.002878,-7e-05,-0.043586,-0.104789,9.797257
1770803081.620883,-3.9e-05,-0.001014,0.000995,-0.013659,-0.108381,9.823593
1770803081.6257398,0.00076,0.00165,0.000462,0.007889,-0.115563,9.817607
1770803081.6303878,-0.00217,0.004579,0.001261,-0.007674,-0.116761,9.834366
1770803081.6368146,0.001825,-0.003144,-0.000603,-0.035207,-0.090424,9.822395
1770803081.6448004,-0.000572,-0.000215,-7e-05,-0.056754,-0.090424,9.80803
1770803081.6542788,-0.000572,-0.000215,0.000196,-0.065134,-0.084439,9.814016
1770803081.6546068,-0.001105,0.005112,0.000462,-0.032813,-0.074862,9.79965
1770803081.6555195,-0.000572,0.000318,-0.000869,-0.023236,-0.085636,9.811622
1770803081.6628134,0.00076,-0.001014,-0.000337,-0.032812,-0.085636,9.806833
1770803081.6670194,0.000227,5.2e-05,0.000729,-0.043586,-0.102395,9.814016
1770803081.6714406,-0.001105,0.001117,0.000462,-0.026827,-0.097607,9.817607
1770803081.675752,0.004754,-0.005807,-0.001136,-0.031616,-0.094016,9.812818
1770803081.6812956,-0.00217,0.00378,0.000729,-0.032813,-0.092819,9.793665
1770803081.6859016,-0.001904,0.001117,-0.000337,-0.038798,-0.101198,9.797256
1770803081.6925309,0.000227,0.00165,-0.000337,-0.059149,-0.097607,9.80803
1770803081.6969535,0.001825,-0.001813,0.000462,-0.053163,-0.08803,9.81641
1770803081.7067282,-0.002969,0.005644,0.000196,-0.030419,-0.108381,9.818803
1770803081.7070286,-3.9e-05,0.000584,-7e-05,-0.030418,-0.104789,9.821198
1770803081.7110834,0.001825,-0.004742,-0.001934,-0.029222,-0.091621,9.802044
1770803081.7182956,0.00289,-0.003144,0.000196,-0.045981,-0.08803,9.802044
1770803081.72103,-3.9e-05,0.000851,0.000196,-0.051966,-0.089227,9.797256
1770803081.726709,0.001292,-0.001546,-0.000869,-0.042389,-0.101198,9.815213
1770803081.7315316,-3.9e-05,-0.000215,0.000196,-0.011265,-0.08803,9.814016
1770803081.7369907,-0.001105,0.002981,0.000995,-0.011265,-0.091621,9.806833
1770803081.7451863,-3.9e-05,-0.000747,-0.000337,-0.032812,-0.098804,9.809227
1770803081.7466114,0.00076,-0.001014,-7e-05,-0.063937,-0.105986,9.820001
1770803081.755043,0.001559,-0.002345,0.000196,-0.053163,-0.105987,9.815213
1770803081.759199,0.000227,0.00165,0.000462,-0.03401,-0.083241,9.80803
1770803081.761562,-0.001105,0.004313,0.000196,-0.018448,-0.100001,9.798453
1770803081.7682204,-0.000838,0.003247,-0.001136,-0.032813,-0.100001,9.812819
1770803081.771861,0.002357,5.2e-05,0.000995,-0.05436,-0.107184,9.814016
1770803081.7778373,0.002091,-0.002612,0.000462,-0.035207,-0.102395,9.821198
1770803081.7852497,0.000493,-0.00128,-0.000337,-0.016053,-0.100001,9.804439
1770803081.789875,0.000493,0.000584,-0.000603,-0.019644,-0.100001,9.812819
1770803081.7937717,0.00076,0.003514,0.000729,-0.049572,-0.080847,9.81641
1770803081.799068,-0.000306,0.000318,-7e-05,-0.078302,-0.082044,9.823593
1770803081.806457,0.002357,-0.00634,-7e-05,-0.065135,-0.09641,9.814015
1770803081.8123243,-3.9e-05,0.002981,0.000729,-0.016053,-0.092818,9.805636
1770803081.8125954,-0.003768,0.00884,0.000462,0.017463,-0.102396,9.81162
1770803081.817614,-0.004034,0.009905,0.001261,-0.000494,-0.091622,9.806831
1770803081.8222635,0.001292,-0.00341,-0.000603,-0.032813,-0.08803,9.803242
1770803081.8274293,-0.002436,0.006177,0.000995,-0.062741,-0.098804,9.815212
1770803081.8344195,0.002357,-0.005541,-0.000869,-0.05077,-0.08803,9.809227
1770803081.8383834,0.000493,-0.00128,0.000462,-0.02563,-0.094015,9.810424
1770803081.842598,0.00289,-0.003943,-0.000337,-0.031616,-0.080848,9.806833
1770803081.8492293,-0.000572,-0.000215,0.000196,-0.068725,-0.085636,9.803242
1770803081.8577175,-0.000572,0.000318,0.000196,-0.079499,-0.097607,9.827184
1770803081.8583114,0.00076,-0.003677,-0.000337,-0.044784,-0.104789,9.802044
1770803081.8631146,-0.001105,0.002182,-0.000337,0.007889,-0.101198,9.809227
1770803081.8711386,-0.003768,0.010704,0.000196,0.004294,-0.104791,9.798451
1770803081.8752785,0.000227,0.000318,0.000196,-0.038798,-0.092818,9.802045
1770803081.8788695,-0.003235,0.004313,0.001261,-0.067529,-0.091622,9.822395
1770803081.8830292,0.002357,-0.007672,-0.000603,-0.060348,-0.080848,9.814015
1770803081.8888192,-3.9e-05,-0.001014,0.000196,-0.01725,-0.080847,9.798453
1770803081.8936405,0.001825,0.000584,-0.000337,0.005495,-0.085636,9.804439
1770803081.8982208,-3.9e-05,0.000318,-0.000337,-0.047178,-0.084439,9.806833
1770803081.9051254,0.001292,-0.002345,-0.000337,-0.077105,-0.101198,9.823592
1770803081.9087694,0.001292,-0.003677,-0.000869,-0.050769,-0.084439,9.815212
1770803081.9132233,-0.003501,0.001117,-0.000603,-0.01725,-0.110775,9.800847
1770803081.9189837,-0.001904,0.004579,0.000462,-0.006477,-0.108381,9.811621
1770803081.923699,-3.9e-05,0.00378,0.000729,-0.018448,-0.101198,9.803241
1770803081.9288785,-0.002703,0.002715,0.000462,-0.060346,-0.10479,9.823592
1770803081.933782,-0.001105,-0.002079,-7e-05,-0.07112,-0.082044,9.833169
1770803081.9389896,0.001026,-0.006606,-0.000869,-0.047179,-0.091621,9.806832
1770803081.9433076,-3.9e-05,0.004579,0.000462,-0.014857,-0.086833,9.803241
1770803081.949472,-3.9e-05,0.005378,0.000995,-0.004083,-0.092818,9.79965
1770803081.9600437,0.00076,-0.004209,-7e-05,-0.04239,-0.080848,9.812818
1770803081.9611938,0.003423,-0.009003,-0.001402,-0.057954,-0.089228,9.80324
1770803081.964508,0.001292,-0.00128,-7e-05,-0.039995,-0.100001,9.823592
1770803081.969105,0.001559,-0.000747,-7e-05,-0.012462,-0.100001,9.818804
1770803081.9739358,0.002091,0.001117,0.000462,-0.004082,-0.086833,9.810424
1770803081.9791164,0.001825,0.000584,-0.000337,-0.035207,-0.107184,9.805636
1770803081.9838614,-3.9e-05,-0.002345,-7e-05,-0.065134,-0.100001,9.79965
1770803081.9892695,-0.001637,-0.000747,0.000196,-0.074711,-0.095213,9.806833
1770803081.997456,0.001292,-0.002345,-7e-05,-0.032813,-0.098804,9.814015
1770803081.999754,-0.000838,0.002981,-7e-05,0.006692,-0.085636,9.820001
1770803082.0062387,0.001559,-0.000481,0.000462,-0.013659,-0.08803,9.798453
1770803082.0102193,0.001559,0.001383,-7e-05,-0.047178,-0.078453,9.818804
1770803082.0143023,0.000493,-0.003144,-0.000603,-0.06274,-0.090424,9.809227
1770803082.0202398,-0.001904,0.001383,0.000196,-0.020842,-0.084439,9.810424
