Topic:,/fixposition/poiimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1770803072.8466156,0.00039,-0.0012,-0.00043,-0.0448,-0.0994,9.8079
1770803072.8991728,0.00213,-0.00334,-9e-05,-0.0447,-0.0995,9.8139
1770803072.9489322,0.00056,0.00187,-0.00017,-0.0404,-0.089,9.8029
1770803072.9900632,-8e-05,0.00061,-0.0004,-0.0536,-0.1006,9.8164
1770803073.0410194,-0.00013,0.00219,0.0004,-0.0425,-0.0903,9.8041
1770803073.0898826,-0.00023,0.00127,0.00022,-0.0251,-0.0891,9.8079
1770803073.1557422,0.00058,-0.00156,0.00011,-0.0235,-0.0919,9.8107
1770803073.1905339,0.0006,-0.00047,-0.00014,-0.0348,-0.1034,9.806
1770803073.2398486,0.00052,-0.00026,-4e-05,-0.0222,-0.0992,9.8099
1770803073.291044,-0.00127,0.00211,0.00015,-0.0297,-0.0847,9.7996
1770803073.3442204,-0.00038,0.00214,0.00011,-0.0386,-0.0888,9.8058
1770803073.3906047,0.0003,0.00042,0.00024,-0.0286,-0.0999,9.8106
1770803073.4402676,-0.00043,0.00195,0.0003,-0.0433,-0.0974,9.8062
1770803073.4904795,-0.00127,0.00273,-5e-05,-0.0362,-0.0867,9.8196
1770803073.5431218,-0.0014,0.0012,0.00016,-0.0366,-0.091,9.8083
1770803073.5946097,0.00028,-0.00255,-0.00068,-0.0432,-0.099,9.8171
1770803073.6408594,-0.00033,0.00073,-0.00027,-0.0422,-0.0954,9.8124
1770803073.6908338,0.00012,-0.00056,0.00022,-0.0426,-0.096,9.811
1770803073.7404585,-0.00317,0.00512,0.00012,-0.0385,-0.0885,9.8054
1770803073.790548,0.00052,0.00091,-0.00029,-0.0294,-0.0968,9.8038
1770803073.8409677,6e-05,-0.00116,-6e-05,-0.0195,-0.0951,9.8087
1770803073.8902326,-0.00191,0.00406,0.00065,-0.0164,-0.0832,9.813
1770803073.9404023,2e-05,0.00113,0.00013,-0.0314,-0.0976,9.8128
1770803073.9905384,0.0008,-0.00037,7e-05,-0.0317,-0.0994,9.7972
1770803074.0429914,4e-05,0.00035,3e-05,-0.0367,-0.0958,9.8106
1770803074.0939066,5e-05,-0.00064,0.00029,-0.0296,-0.0925,9.8113
1770803074.1409156,0.0017,-0.00356,-0.00027,-0.0275,-0.0871,9.7949
1770803074.1905646,0.0014,-0.00434,-0.00035,-0.0239,-0.0981,9.8086
1770803074.2394693,-0.00028,0.00152,-7e-05,-0.0268,-0.0898,9.8048
1770803074.2903378,-2e-05,-0.00262,-4e-05,-0.0389,-0.0935,9.8066
1770803074.340222,-0.00072,0.00012,-1e-05,-0.0554,-0.0964,9.81
1770803074.3914251,-2e-05,-0.00034,-0.00031,-0.0514,-0.0863,9.798
1770803074.441534,0.00088,-0.00151,-0.00023,-0.0378,-0.0943,9.8022
1770803074.489762,-0.00037,0.00068,0.0004,-0.0248,-0.1025,9.8115
1770803074.5406826,-0.00129,-0.00011,0.00018,-0.0369,-0.0846,9.8087
1770803074.5900283,-0.00048,0.00137,0.00026,-0.0356,-0.086,9.8019
1770803074.6444874,0.00017,-0.00145,-0.00016,-0.0256,-0.1008,9.8111
1770803074.6905503,0.00097,-0.00088,0.00032,-0.0312,-0.0968,9.8117
1770803074.7412457,-0.00074,0.0015,-9e-05,-0.0313,-0.091,9.8091
1770803074.792884,-0.00172,0.00096,0.0001,-0.0451,-0.0881,9.8106
1770803074.8570352,-0.0001,-0.00105,-0.00013,-0.0375,-0.088,9.8022
1770803074.8949125,-0.00087,0.0028,0.00055,-0.0379,-0.0985,9.8128
1770803074.940138,-6e-05,0.001,-0.00036,-0.0335,-0.1014,9.8124
1770803074.9984925,-0.00116,0.00201,-0.00018,-0.029,-0.0939,9.814
1770803075.0395215,0.00031,-0.0012,-0.00054,-0.0244,-0.0971,9.8023
1770803075.0900917,0.00128,-0.00219,-0.00018,-0.0209,-0.1011,9.8129
1770803075.140722,-0.00067,0.00023,0.00028,-0.0306,-0.0973,9.8069
1770803075.1919649,-0.00057,0.00112,-0.00054,-0.0377,-0.0898,9.8162
1770803075.2419953,0.00119,-0.00233,-0.00046,-0.0417,-0.0907,9.8091
1770803075.2941384,0.00037,0.00045,-0.00016,-0.0195,-0.0914,9.8107
1770803075.3415258,-0.00226,0.00341,0.0003,-0.0234,-0.0952,9.8141
1770803075.3933024,0.00065,0.00059,-0.00023,-0.0285,-0.0953,9.8127
1770803075.440283,0.00062,0.00015,-8e-05,-0.0214,-0.1035,9.8152
1770803075.490794,-0.00028,0.00209,-0.00013,-0.0305,-0.0903,9.8064
1770803075.5395503,0.00027,0.0007,-7e-05,-0.0152,-0.0979,9.8005
1770803075.5924487,-0.00029,0.00261,0.00053,-0.016,-0.0851,9.8046
1770803075.6423619,-0.00066,0.00341,0.00019,-0.0312,-0.0928,9.8075
1770803075.6916018,-0.00053,0.00089,-1e-05,-0.044,-0.0958,9.7987
1770803075.7405565,0.0012,-0.00212,-0.0006,-0.0559,-0.0864,9.8109
1770803075.7932625,-0.00098,0.00335,0.00023,-0.0392,-0.096,9.8185
1770803075.8408005,0.00052,0.00335,0.00055,-0.0311,-0.0963,9.8051
1770803075.8931937,0.00021,0.00207,0.0005,-0.0265,-0.091,9.8042
1770803075.9443913,-0.00086,0.00037,-0.00022,-0.0249,-0.0866,9.7928
1770803075.992276,0.00111,-0.00126,8e-05,-0.034,-0.1014,9.8173
1770803076.039828,-0.00073,0.00158,0.00024,-0.0296,-0.0898,9.7962
1770803076.0929353,-0.00136,0.00333,0.00022,-0.0425,-0.0936,9.8096
1770803076.1406753,0.00111,-0.00178,0.00035,-0.0311,-0.0911,9.8048
1770803076.1926453,-0.00077,0.00024,-0.00047,-0.0426,-0.0905,9.8092
1770803076.2414203,-0.0015,0.00233,6e-05,-0.0354,-0.1024,9.8139
1770803076.2913606,-0.00028,-0.00062,-0.00053,-0.0347,-0.0972,9.8004
1770803076.340347,0.00199,-0.00149,-0.00045,-0.0331,-0.0857,9.8263
1770803076.3920243,0.00019,-0.00156,-0.00031,-0.0338,-0.0866,9.8144
1770803076.4400454,0.001,-0.00065,-0.00026,-0.0423,-0.1038,9.8109
1770803076.4904222,-0.00119,0.00141,-9e-05,-0.0351,-0.096,9.8176
1770803076.540404,-0.00083,-0.00044,-0.00032,-0.037,-0.0881,9.8013
1770803076.5906415,0.00051,-0.0013,0.00055,-0.0341,-0.0925,9.8086
1770803076.6440578,0.00097,-0.00133,-0.00049,-0.0302,-0.0981,9.7956
1770803076.6934438,-0.00038,0.00157,0.00041,-0.0357,-0.0903,9.8109
1770803076.74277,0.00058,-0.00051,-9e-05,-0.0336,-0.0877,9.8099
1770803076.7905858,0.00242,-0.00129,-7e-05,-0.0361,-0.095,9.8168
1770803076.8418593,0.00071,0.00073,-5e-05,-0.0245,-0.0773,9.8304
1770803076.891303,0.00025,-0.00138,-0.00012,-0.0309,-0.0853,9.8092
1770803076.9448426,-0.00035,-0.00133,-0.00036,-0.0328,-0.0977,9.8124
1770803076.9909742,0.00217,-0.00309,0.00064,-0.0352,-0.1012,9.8141
1770803077.0489695,-0.00078,0.00295,0.00047,-0.0309,-0.0926,9.806
1770803077.0907116,-0.00093,-0.00034,-0.00065,-0.0328,-0.0923,9.8161
1770803077.147479,0.00051,0.00103,0.00017,-0.0504,-0.099,9.8178
1770803077.1935837,0.00052,0.00035,8e-05,-0.0506,-0.1013,9.8133
1770803077.2411935,-5e-05,-0.00121,0.0004,-0.0596,-0.1001,9.8184
1770803077.2908485,0.00023,-0.00147,-7e-05,-0.0465,-0.0934,9.8067
1770803077.344736,-4e-05,0.00159,0.00039,-0.0494,-0.0945,9.8177
1770803077.394766,-0.00141,0.00295,0.0002,-0.0471,-0.1041,9.8068
1770803077.4449828,0.00016,0.0009,0.00049,-0.0396,-0.0964,9.8157
1770803077.491937,0.00136,-0.00245,-0.00016,-0.0422,-0.087,9.806
1770803077.5450468,0.00141,-0.00425,-0.00076,-0.0442,-0.0942,9.8106
1770803077.5915294,0.00081,-0.00078,-0.00059,-0.0448,-0.0923,9.8063
1770803077.646789,-0.00028,-0.00035,-0.00026,-0.0464,-0.0909,9.8087
1770803077.6928098,0.00033,0.00042,9e-05,-0.0454,-0.0973,9.8083
1770803077.7419105,0.0009,-0.00346,-0.00033,-0.0457,-0.0981,9.8123
1770803077.7909596,0.00088,-8e-05,-2e-05,-0.0397,-0.0968,9.8098
1770803077.8397334,2e-05,-0.00127,-0.00101,-0.0416,-0.0985,9.8154
1770803077.8913326,0.00052,-0.00085,7e-05,-0.0358,-0.0848,9.8059
1770803077.9412997,-0.00151,0.00057,-0.00014,-0.0374,-0.0968,9.8121
1770803077.9912004,-0.00268,0.00355,0.00035,-0.0437,-0.0894,9.8179
1770803078.0407908,0.00081,-0.00052,0.00027,-0.0456,-0.0926,9.8127
1770803078.0913758,-8e-05,0.00082,0.00036,-0.0344,-0.0931,9.8112
