Topic:,/fixposition/poiimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1771240789.6051254,0.00102,0.001,3e-05,0.0166,-0.0501,9.7902
1771240789.6441803,-0.00071,-0.00164,0.00013,-0.009,-0.1203,9.7928
1771240789.7055566,0.0016,0.00044,0.00016,-0.0213,-0.081,9.8037
1771240789.7430003,0.0001,-0.00068,0.00059,-0.011,-0.1073,9.8179
1771240789.7918901,-0.00062,0.00481,0.00031,-0.0193,-0.1063,9.7972
1771240789.8419847,0.00102,-0.00186,-0.00049,0.0097,-0.0704,9.8021
1771240789.8936613,4e-05,-0.00133,-0.00017,0.0225,-0.0719,9.8031
1771240789.9423409,-0.00024,1e-05,0.00026,-0.0063,-0.0858,9.8144
1771240789.9932334,0.00038,0.0008,0.00027,-0.0053,-0.0961,9.8085
1771240790.042827,-0.00306,0.00643,0.00017,-0.009,-0.0978,9.8054
1771240790.0922272,0.00077,-0.0017,0.00034,0.0008,-0.1011,9.8084
1771240790.147407,-0.0002,0.00175,0.00018,0.0043,-0.0931,9.8226
1771240790.1927516,0.00086,-0.0011,6e-05,0.0087,-0.0994,9.7857
1771240790.2418067,0.0007,-0.00202,-7e-05,-0.0152,-0.07,9.8198
1771240790.2952447,0.00088,-0.00136,0.00024,0.0313,-0.1218,9.814
1771240790.3454795,0.00152,-0.00108,0.00046,-0.0251,-0.0794,9.8265
1771240790.392095,-0.00147,-0.00069,0.00037,-0.0396,-0.1201,9.7936
1771240790.4485667,-0.0006,-0.0007,0.0003,-0.0071,-0.0773,9.7892
1771240790.494054,-0.00141,0.00338,-8e-05,0.0719,-0.1281,9.8259
1771240790.542941,-0.00014,0.00086,-6e-05,0.2101,-0.0041,9.737
1771240790.6010478,-0.00125,-0.0035,-0.00063,0.1672,-0.0773,9.742
1771240790.6539948,6e-05,0.0008,-0.0008,0.354,-0.1442,9.8098
1771240790.6973426,0.00034,-0.00202,-0.00192,0.283,-0.0626,9.781
1771240790.7481415,-0.00032,-0.00147,-0.00246,0.2814,-0.1059,9.844
1771240790.800623,0.00168,0.00012,-0.00298,0.3231,-0.1035,9.8001
1771240790.842236,-0.00038,0.00107,-0.00364,0.2961,-0.0829,9.8386
1771240790.8925085,-0.00078,0.00746,-0.00266,0.2667,-0.0725,9.7956
1771240790.9441836,-0.00026,-0.00233,-0.00424,0.1763,-0.0945,9.8322
1771240790.9921467,-0.00158,0.00549,-0.00431,0.1461,-0.0909,9.7181
1771240791.043165,-0.00068,-0.00051,-0.00493,0.1718,-0.1117,9.8792
1771240791.0918696,-0.00139,-0.0016,-0.00541,0.044,-0.0904,9.7314
1771240791.1431046,0.00178,0.00034,-0.00537,0.2145,-0.1265,9.85
1771240791.1994963,0.00156,-0.00118,-0.00527,0.0881,-0.0981,9.8101
1771240791.2519627,0.00086,0.00085,-0.00524,0.162,-0.0675,9.8512
1771240791.2969239,0.00028,-0.00513,-0.00662,0.1207,-0.0958,9.7865
1771240791.3524199,0.00079,0.00439,-0.00659,0.097,-0.1001,9.8219
1771240791.395598,-0.00087,-0.00288,-0.00542,0.0928,-0.0561,9.6541
1771240791.4595416,0.0001,-0.00116,-0.00714,0.1674,-0.1017,9.913
1771240791.493636,0.00031,0.0031,-0.0066,0.1385,-0.0963,9.6731
1771240791.5470436,-0.00076,0.00137,-0.00802,0.1679,-0.0775,9.8633
1771240791.5936735,0.00124,-0.00152,-0.00917,0.1995,-0.1301,9.8722
1771240791.6493983,0.00098,-0.00126,-0.008,0.1459,-0.075,9.8774
1771240791.694065,-0.00076,0.00331,-0.00742,0.1613,-0.14,9.8322
1771240791.7524028,0.00101,-0.00115,-0.00859,0.0785,-0.085,9.7748
1771240791.7930999,-0.0001,-0.00107,-0.00918,0.1207,-0.0446,9.7531
1771240791.854272,-0.00013,0.00089,-0.0096,0.1335,-0.0881,9.7592
1771240791.898432,0.0004,-0.00421,-0.00999,0.134,-0.0828,9.8236
1771240791.9423366,-0.00109,-0.0049,-0.01178,0.2047,-0.1007,9.8209
1771240791.9977782,0.00179,-0.00025,-0.01087,0.158,-0.0423,9.8062
1771240792.0419464,-0.00021,-0.00301,-0.01031,0.1432,-0.1002,9.7989
1771240792.091926,-0.00088,0.00817,-0.01117,0.2166,-0.1147,9.8211
1771240792.1430147,0.00125,-0.01226,-0.01158,0.0644,-0.186,9.8036
1771240792.1949534,0.00448,-0.0068,-0.01122,0.2154,-0.0811,9.7759
1771240792.2435157,0.00034,0.00973,-0.01136,0.223,-0.0746,9.8249
1771240792.2926505,0.00167,0.00252,-0.01323,0.1523,-0.0171,9.8063
1771240792.3429866,0.00045,-0.00265,-0.01338,0.1057,-0.1253,9.7444
1771240792.3918252,0.00263,-0.00892,-0.01584,0.2262,-0.1988,9.8791
1771240792.4423933,0.00206,-0.00665,-0.01541,0.1539,-0.1399,9.737
1771240792.4919267,-0.00147,0.01332,-0.01508,0.2993,-0.169,9.7683
1771240792.545919,-0.00076,-0.00621,-0.01116,-0.0227,-0.0725,9.743
1771240792.6271455,-0.00022,0.0117,-0.01419,0.2324,-0.2296,9.8112
1771240792.642383,0.00046,-0.00343,-0.01896,0.1868,-0.2255,9.8268
1771240792.69399,-0.00068,-0.00209,-0.01898,0.1059,-0.1246,9.7551
1771240792.742174,0.00259,-0.00123,-0.01733,0.2576,-0.1674,9.7961
1771240792.7923026,-0.00123,0.00903,-0.01556,0.116,-0.0625,9.8238
1771240792.8420582,0.00098,-0.00321,-0.01735,0.1167,-0.1818,9.8031
1771240792.9198332,0.00202,0.00199,-0.01935,0.1791,-0.0773,9.8204
1771240792.9472032,-2e-05,-0.00046,-0.01918,0.1785,-0.0145,9.849
1771240792.993198,0.00157,0.00062,-0.01856,0.1998,-0.1268,9.7837
1771240793.0428934,-0.00261,0.00651,-0.01912,0.1321,-0.0637,9.8054
1771240793.0945094,-0.00035,0.00384,-0.01998,0.211,-0.1048,9.8237
1771240793.143682,0.00246,-0.00697,-0.01978,0.1634,-0.1383,9.8035
1771240793.19278,0.00165,-0.00071,-0.02021,0.1437,-0.0872,9.8334
1771240793.2422645,0.00043,0.00538,-0.02218,0.3043,-0.1104,9.7423
1771240793.2962303,0.00347,-0.00521,-0.02339,0.1805,-0.1827,9.8031
1771240793.3428211,0.00391,0.00665,-0.02059,0.2885,-0.0907,9.8135
1771240793.3983152,0.00067,0.00257,-0.02098,0.2384,-0.0451,9.8397
1771240793.442423,-0.00229,0.00115,-0.02245,0.0567,0.0155,9.7946
1771240793.4927633,0.00306,-0.00207,-0.02477,0.225,-0.1898,9.7916
1771240793.5488462,0.00318,0.00165,-0.02626,0.1217,-0.0397,9.7947
1771240793.595993,0.00106,0.00918,-0.0237,0.1639,0.0256,9.8484
1771240793.642899,0.00018,-0.00353,-0.02348,0.0838,-0.1114,9.7935
1771240793.6979008,0.00305,0.00669,-0.02561,0.1308,-0.2262,9.7316
1771240793.743514,0.00332,0.00031,-0.02769,0.1927,-0.0095,9.8621
1771240793.7999434,0.0011,-0.00502,-0.02676,0.0533,0.035,9.8185
1771240793.8451486,0.00127,0.00178,-0.02464,-0.0952,-0.0422,9.8403
1771240793.907527,0.00093,-0.0043,-0.02655,0.0669,-0.151,9.8156
1771240793.944569,0.00031,0.00528,-0.02548,0.1763,-0.0368,9.7396
1771240793.992967,-0.00426,0.01599,-0.02731,0.0309,0.0003,9.8253
1771240794.0485594,-0.00566,-0.01159,-0.02852,-0.0454,-0.1283,9.8394
1771240794.0924485,-0.00012,0.00117,-0.02497,0.1565,-0.1204,9.7437
1771240794.142938,-0.00045,0.00645,-0.02518,0.296,-0.1891,9.7939
1771240794.1937559,0.00237,0.00074,-0.02856,0.0641,-0.1018,9.7881
1771240794.2420561,-0.0021,-0.00181,-0.03021,-0.0599,0.0224,9.9154
1771240794.297465,0.00049,-0.00238,-0.0287,0.1078,-0.1257,9.8396
1771240794.3419564,0.00277,-0.00898,-0.02651,0.0151,-0.0774,9.7844
1771240794.3958783,-0.00667,0.00755,-0.0251,-0.1344,0.0421,9.8968
1771240794.44358,-0.00091,-0.00478,-0.02755,0.0259,-0.3753,9.7835
1771240794.4922466,0.00689,-0.00016,-0.02884,0.1673,-0.074,9.7046
1771240794.5435011,0.00314,0.00538,-0.02787,0.1062,-0.228,9.8084
1771240794.592392,0.0046,-0.0082,-0.0288,0.0698,-0.1582,9.7491
