Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1771241285.0415897,308.9093,175.9551,-2.3589,0.002228,0.000156,-0.153455,-0.988153,3.4753,0.0243,-0.123,-0.04307,-0.15963,-0.00169,1.1978,0.6026,9.6852,4,1,8,8,-1
1771241285.0928464,309.0876,176.0016,-2.384,0.002904,0.002841,-0.153354,-0.988163,3.5776,0.0213,-0.1207,-0.04721,-0.03024,-9e-05,1.8001,0.2015,10.8351,4,1,8,8,-1
1771241285.1425571,309.2593,176.0575,-2.3876,0.003834,0.003017,-0.153348,-0.98816,3.6387,0.0103,-0.0573,-0.03408,0.00204,0.00726,1.0293,-1.1186,11.0421,4,1,8,8,-1
1771241285.1966777,309.4337,176.1129,-2.3886,0.004368,0.00212,-0.153287,-0.98817,3.6749,-0.0322,-0.0085,-0.00606,0.0985,-0.00519,0.7266,-2.0229,10.4934,4,1,8,8,-1
1771241285.255971,309.6091,176.1656,-2.3878,0.004041,0.001246,-0.153282,-0.988173,3.6542,-0.0837,0.0232,0.02517,0.03499,-0.00317,0.1949,-0.8647,10.2287,4,1,8,8,-1
1771241285.2912188,309.7841,176.2171,-2.3863,0.003479,0.001215,-0.153336,-0.988167,3.6328,-0.075,0.028,0.01967,-0.07101,0.00323,-0.5856,-0.2588,9.8591,4,1,8,8,-1
1771241285.3419125,309.9738,176.2758,-2.3985,0.003352,0.00038,-0.153287,-0.988176,3.6574,-0.0577,0.0068,0.01134,0.01534,0.00398,-0.3273,0.0409,9.3456,4,1,8,8,-1
1771241285.401912,310.1488,176.3287,-2.3986,0.003164,0.000385,-0.153416,-0.988157,3.6596,-0.0396,-0.0126,0.00338,0.0049,0.00614,-0.3989,0.5471,9.4218,4,1,8,8,-1
1771241285.4412994,310.3199,176.3811,-2.3999,0.003107,0.001026,-0.153571,-0.988132,3.6472,-0.0271,-0.0321,-0.00951,0.00865,0.00048,0.2133,0.6818,9.4574,4,1,8,8,-1
1771241285.492225,310.4938,176.4355,-2.4014,0.00349,0.001319,-0.153497,-0.988142,3.635,-0.0111,-0.0366,-0.01746,-0.02013,-0.0046,0.0918,0.2898,9.7084,4,1,8,8,-1
